	train_epoch_loss	dev_epoch_loss	dev_precision	dev_recall	dev_f1
0	0.003662372959327319	0.0009032402747488092	0.8300492508614624	0.8300492508614624	0.8300442508915808
1	0.00135888001844007	0.0008499359384933044	0.807881763449732	0.807881763449732	0.8078767634806768
2	0.0010375779629761322	0.0007535170880146325	0.8238916154693151	0.8238916154693151	0.8238866154996587
3	0.0009412706433286473	0.0007918857390038847	0.7795566406458542	0.7795566406458542	0.7795516406779235
4	0.0008747571842494304	0.0006492175743915141	0.7992610739007258	0.7992610739007258	0.7992560739320045
5	0.002382621409872781	0.0008519225618025909	0.868226590292776	0.6908866909989324	0.7694660238896553
6	0.002622767864304081	0.0007151711560297935	0.8189655071555972	0.6416256078617536	0.7195246339932819
7	0.0025092307509996933	0.0005991026534632381	0.9051724026456601	0.6884236368420734	0.782052856173553
8	0.0024453386011701384	0.0006195117603056133	0.8645320090574876	0.689655163920503	0.7672500951454332
9	0.002388547388378714	0.0005988419025448994	0.8940886589397948	0.7105911242538039	0.7918433481569125
10	0.002370666033751204	0.0005931775736999476	0.8509852111947634	0.6650246223519135	0.7465946106758986
11	0.0023395283315636095	0.000827711628517136	0.8928571318613654	0.708128070096945	0.7898302217069931
12	0.002339127211439642	0.0006316851081681394	0.8756157527633528	0.7068965430185155	0.782257223535872
13	0.0022688421256626483	0.0005665491501401578	0.8866994964692181	0.7192118138028102	0.7942166892917563
14	0.002239034091290392	0.0007066527933126227	0.8780788069202118	0.7093595971753744	0.7847481872899338
15	0.002180480515607251	0.0008252870563107232	0.8953201860182244	0.7044334888616566	0.7884833643724796
16	0.0021626014584329367	0.0007345960226042994	0.8977832401750833	0.7315270845871049	0.8061677575553492
17	0.002153948990467814	0.0007369851297144557	0.9039408755672306	0.7192118138028102	0.8010595129432474
18	0.0021472307649832933	0.0006360414498929112	0.8854679693907885	0.7118226513322333	0.7892016686955456
